,date,race,id
1404,2017-05-24,White,1115
1406,2017-05-25,Black,1256
1408,2017-05-25,Latinx,818
1409,2017-05-25,White,1107
1411,2017-05-26,Black,1251
1413,2017-05-26,Latinx,808
1414,2017-05-26,White,1104
1416,2017-05-27,Black,1248
1418,2017-05-27,Latinx,806
1419,2017-05-27,White,1094
1421,2017-05-28,Black,1248
1423,2017-05-28,Latinx,808
1424,2017-05-28,White,1094
1426,2017-05-29,Black,1247
1428,2017-05-29,Latinx,809
1429,2017-05-29,White,1096
1431,2017-05-30,Black,1238
1433,2017-05-30,Latinx,804
1434,2017-05-30,White,1092
1436,2017-05-31,Black,1264
1438,2017-05-31,Latinx,828
1439,2017-05-31,White,1126
1441,2017-06-01,Black,1239
1443,2017-06-01,Latinx,823
1444,2017-06-01,White,1130
1446,2017-06-02,Black,1228
1448,2017-06-02,Latinx,821
1449,2017-06-02,White,1123
1451,2017-06-03,Black,1224
1453,2017-06-03,Latinx,814
1454,2017-06-03,White,1112
1456,2017-06-04,Black,1224
1458,2017-06-04,Latinx,815
1459,2017-06-04,White,1119
1461,2017-06-05,Black,1223
1463,2017-06-05,Latinx,814
1464,2017-06-05,White,1120
1466,2017-06-06,Black,1225
1468,2017-06-06,Latinx,826
1469,2017-06-06,White,1119
1471,2017-06-07,Black,1222
1473,2017-06-07,Latinx,826
1474,2017-06-07,White,1116
1476,2017-06-08,Black,1233
1478,2017-06-08,Latinx,823
1479,2017-06-08,White,1130
1481,2017-06-09,Black,1239
1483,2017-06-09,Latinx,820
1484,2017-06-09,White,1134
1486,2017-06-10,Black,1232
1488,2017-06-10,Latinx,816
1489,2017-06-10,White,1128
1491,2017-06-11,Black,1231
1493,2017-06-11,Latinx,817
1494,2017-06-11,White,1131
1496,2017-06-12,Black,1231
1498,2017-06-12,Latinx,818
1499,2017-06-12,White,1130
1501,2017-06-13,Black,1256
1503,2017-06-13,Latinx,824
1504,2017-06-13,White,1144
1506,2017-06-14,Black,1255
1508,2017-06-14,Latinx,822
1509,2017-06-14,White,1138
1511,2017-06-15,Black,1271
1513,2017-06-15,Latinx,828
1514,2017-06-15,White,1132
1516,2017-06-16,Black,1269
